ambiguous,unambiguous
咖啡牛奶,水果味道
糖果巧克力,水果味道
饼干蛋糕,水果味道
番茄鸡蛋,水果味道
红酒巧克力,水果味道
白酒糖果,水果味道
果汁汽水,水果味道
巧克力饼干,水果味道
咖啡蛋糕,灯光色调
酸奶饼干,水果味道
冰淇淋蛋糕,水果味道
巧克力糖果,水果味道
鸡蛋面包,水果味道
电脑椅子,房间床铺
茶杯碟子,水果味道
山谷溪流,湖水倒影
田野森林,山峰景色
公园商场,技术设备
冰川海洋,山峰景色
森林草原,山峰景色
鸡蛋面条,水果味道
果汁牛奶,水果味道
香蕉面包,水果味道
牛奶饼干,水果味道
分析数据,维护健康
设计网站,绘制地图
设定目标,绘制地图
监控进度,追踪进度
分析结果,维护健康
设计实验,体验文化
收集数据,维护健康
推广产品,维护健康
管理项目,评估风险
监督团队,追踪进度
设计服装,购买家具
编写程序,绘制地图
演奏乐器,制作音乐
管理时间,追踪进度
创造艺术,记录生活
学习技能,促进交流
旅行世界,记录生活
阅读报告,维护健康
计算预算,评估风险
打印文档,书写信件
搜索信息,购买家具
翻译文件,书写信件
绘制图表,绘制地图
销售产品,购买家具
开发软件,创作诗歌
维护设备,维护健康
记录日志,记录生活
审查提案,促进交流
复习笔记,记录生活
项目管理,医生治疗
数据分析,老师讲课
产品设计,老师讲课
战略规划,老师讲课
供应商管理,商人谈判
会议管理,客人进门
时间管理,灯光闪烁
网络管理,老师讲课
软件开发,医生治疗
科学研究,医生治疗
艺术创作,医生治疗
心理评估,医生治疗
自然保护,游客拍照
市场调研,商人谈判
风险管理,医生治疗
体育管理,医生治疗
产品开发,医生治疗
性能测试,钟表转动
质量保证,读者阅读
成本控制,医生治疗
需求分析,医生治疗
知识管理,读者阅读
交通管理,游客拍照
音乐表演,歌手演唱
商业策划,商人谈判
产品销售,商人谈判
供应链管理,商人谈判
会计核算,工人劳动
报告分析,医生治疗
数据整理,医生治疗
安全检查,工人劳动
文化研究,学生读书
酒店管理,客人进门
时尚设计,钟表转动
化学分析,医生治疗
能源开发,灯光闪烁
财务管理,游客拍照
投资分析,医生治疗
股票交易,老师讲课
基金管理,游客拍照
健康管理,医生治疗
心理辅导,老师讲课
社区服务,读者阅读
物流管理,船只靠岸
渠道拓展,商人谈判
库存控制,母亲洗衣
创新管理,医生治疗
公司治理,医生治疗
市场准入,客人进门
关于老师的意见,由于教师的指导
关于心理学家的分析,从心理学家的观察
关于医生的诊断,从医生的诊断
关于科学家的研究,从科学家的研究
关于父母的期望,通过父母的支持
关于作家的作品,通过作家的作品
关于记者的报道,由于记者的报道
关于音乐家的演出,通过音乐家的演奏
关于历史学家的考证,由于历史学家的考证
关于设计师的构思,在设计师的构思
关于教授的讲义,在教授的讲解中
关于哲学家的思考,通过哲学家的思考
关于历史学家的论述,从历史学家的分析
对学生的建议,由学生的反馈
关于科学的研究,从科学家的研究
关于艺术的欣赏,以艺术家的视角
针对健康的管理,通过心理学家的分析
关于历史的解读,从历史学家的分析
对心理的分析,通过心理学家的分析
对运动的参与,在社区的参与下
关于哲学的思考,通过哲学家的思考
关于人际的关系,在社区的活动
对未来的展望,经过心理学家的分析
关于心理的研究,通过心理学家的观察
关于旅行的体验,从旅行的体验
针对政策的调整,由于心理的变化
对艺术的欣赏,以艺术家的视角
关于梦想的追求,为了团队的目标
关于学生的反馈,由学生的反馈
关于医生的建议,通过医生的建议
关于家长的关心,为家人的关心
关于专家的分析,通过专家的分析
关于教授的讲座,在教授的讲解中
关于心理学家的观察,从心理学家的观察
关于工程师的方案,通过工程师的设计
关于作曲家的乐曲,受到作曲家的启发
关于诗人的诗篇,以作家的作品
关于评论家的评价,在评论家的评价
关于家长的建议,由学生的反馈
关于朋友的看法,从朋友的反馈
关于历史的研究,由于历史学家的研究
关于未来的规划,为了团队的目标
对学生的评价,由学生的反馈
关于健康的意识,在社区的活动
关于法律的规定,结合历史的背景
针对健康的建议,通过医生的建议
针对经济的挑战,在经济的影响下
关于未来的展望,随着社会的发展
关于企业家的决策,随着企业家的决策
关于旅行者的经历,从旅行者的经历
对医生的建议,通过医生的建议
对科学家的研究,从科学家的研究
对艺术家的评价,凭借艺术家的创作
对教练的指导,受益于教师的指导
关于邻居的帮助,为朋友的帮助
对心理学家的观察,从心理学家的观察
对演员的表演,通过演员的表演
对企业家的决策,随着企业家的决策
对旅行者的经历,从旅行者的经历
对领导者的决策,通过领导的决策
对文化的理解,通过文化的交流
关于心理的分析,通过心理学家的分析
在科学的发现,由于科学的发现
关于健康的知识,通过心理学家的观察
对科学的研究,从科学家的研究
对孩子的教育,由于父母的关心
关于心理的探讨,在哲学家的思考中
关于经济的分析,从历史学家的分析
对未来的规划,为了团队的目标
关于文学的讨论,通过文化的交流
关于专家的建议,通过专家的分析
关于艺术家的作品,以艺术家的作品
针对健康的关注,为家人的关心
对于心理的研究,通过心理学家的观察
关于健康的建议,因为朋友的建议
关于历史的教训,由于历史的教训
关于心理学的探索,从科学家的研究
关于企业家的经验,从企业家的经验
关于心理学家的理论,在心理学家的理论
关于顾客的评价,在评论家的评价
关于研究者的调查,通过研究者的分析
关于志愿者的贡献,在社区的活动
关于诗人的诗作,以作家的作品
关于书籍的推荐,受益于书籍的启发
针对问题的解决方案,通过心理学家的分析
关于文化的交流,通过文化的交流
针对技术的挑战,通过技术的创新
依据经验的总结,经过实践的验证
对于朋友的建议,因为朋友的建议
关于职业的选择,经过心理学家的分析
对于生活的态度,由于心理的变化
对于自我的认识,通过科学家的实验
对学生的期望,通过学生的努力
对行业的分析,通过心理学家的分析
对学生的反馈,由学生的反馈
对朋友的帮助,为朋友的帮助
对领导的指示,通过领导的指示
对团队的评价,在团队的合作
对顾客的反馈,从同事的反馈
对社会的观察,通过心理学家的观察
对志愿者的贡献,为朋友的帮助
关于经济学家的预测,通过心理学家的观察
针对作家的评论,在评论家的评价
对科学的探索,从科学家的研究
关于艺术的理解,以艺术家的视角
对生活的态度,通过科学家的实验
关于运动的益处,在社区的活动
对时尚的追求,随着社会的发展
关于电影的评价,通过导演的构思
关于音乐的欣赏,从音乐家的演奏
对阅读的热爱,通过书籍的阅读
对友情的珍视,通过朋友的支持
关于文学的探讨,在哲学家的思考中
针对领导者的决策,通过领导的决策
关于同事的评价,从同事的评价
关于领导的指示,通过领导的指示
关于心理学家的观点,从心理学家的观察
关于设计师的方案,在工程师的设计
关于企业的策略,由于企业家的策略
关于历史学家的研究,从历史学家的分析
针对评论家的评价,在评论家的评价
关于心理学的研究,从科学家的研究
基于经验的总结,通过企业家的经验
对作家的作品,通过作家的作品
关于科学研究的进展,通过科学家的研究
关于投资者的观点,从企业家的经验
关于心理学的理论,在心理学家的理论
针对心理的研究,通过心理学家的分析
针对经济的分析,通过心理学家的分析
关于历史的探讨,由于历史学家的研究
关于生活的哲学,在哲学家的思考中
针对职业的规划,经过心理学家的分析
关于未来的设想,由于设计师的构思
针对企业家的战略,由于企业家的策略
关于活动组织者的安排,通过领导的指示
关于艺术的展览,在艺术家的作品
关于旅游的规划,从旅行的体验
关于艺术家的展览,在艺术家的作品
对项目的规划,通过心理学家的分析
对活动的安排,由于作家的描述
关于哲学家的观点,通过哲学家的思考
关于历史的记载,结合历史的背景
针对学生的建议,由学生的反馈
关于心理咨询师的建议,因为朋友的建议
关于父母的关心,由于父母的关心
关于作家的经历,通过作家的作品
针对研究者的调查,通过研究者的分析
经过训练的运动员,通过运动员的训练
对领导的看法,从同事的评价
关于环保的倡导,由于环境的影响
针对政策的分析,通过专家的分析
对音乐的欣赏,受到音乐家的启发
针对文学的研究,通过科学家的研究
对社会的责任,为朋友的帮助
对运动员的评价,以运动员的表现
针对顾客的评价,在评论家的评价
为父母的关心,为家人的关心
关于社会的观察,在哲学家的思考中
针对现象的研究,通过科学家的研究
关于生活的感悟,通过哲学家的思考
对朋友的鼓励,因为朋友的鼓励
对同事的反馈,从同事的反馈
对团队的合作,在团队的合作
对于朋友的支持,通过朋友的支持
针对问题的分析,通过专家的分析
针对政策的解读,经过专家的分析
对于医生的建议,通过医生的建议
关于心理学家的发现,凭借科学家的发现
关于作家的小说,通过作家的作品
针对企业的策略,由于企业家的策略
对父母的期望,因为父母的支持
针对工程师的方案,通过工程师的设计
关于心理学家的研究,从心理学家的观察
对朋友的反馈,从朋友的反馈
关于哲学家的理论,通过哲学家的思考
关于历史学家的观点,从历史学家的分析
对顾客的评价,在评论家的评价
关于科学家的理论,从科学家的研究
对社会的影响,由于环境的影响
针对父母的期望,由于父母的关心
针对企业的战略,由于企业家的策略
对艺术的理解,凭借艺术家的创作
对历史的解读,从历史学家的分析
关于朋友的帮助,为朋友的帮助
关于教练的指导,受益于教师的指导
关于心理学家的看法,从心理学家的观察
关于演讲者的观点,在教授的讲解中
关于父母的建议,通过父母的支持
针对艺术家的风格,以艺术家的作品
对于社会的观察,通过心理学家的观察
对父母的支持,因为父母的支持
对父母的期待,因为父母的支持
对运动员的训练,通过运动员的训练
对企业家的看法,从企业家的经验
关于家长的期望,通过父母的支持
关于媒体的报道,通过媒体的报道
对于医生的诊断,从医生的诊断
关于专家的见解,通过专家的分析
对团队的协作,在团队的合作
关于政府的政策,从历史学家的分析
针对父母的关心,由于父母的关心
关于心理学家的见解,从心理学家的观察
对员工的评估,从同事的评价
对团队的表现,在团队的合作
对同行的看法,从同事的评价
为朋友的支持,通过朋友的支持
对老师的评价,在评论家的评价
对艺术家的赞赏,凭借艺术家的创作
对企业的策略,由于企业家的策略
对运动员的鼓励,因为朋友的鼓励
对历史事件的解读,从历史学家的分析
关于环境保护的倡议,由于环境的变化
对创新的追求,通过技术的创新
针对企业家的策略,由于企业家的策略
对社会学家的观察,从心理学家的观察
关于公司的政策,由于企业家的策略
对于历史学家的观点,从历史学家的分析
关于领导者的策略,由于企业家的策略
关于朋友的建议,因为朋友的建议
对医生的诊断,通过医生的诊断
对领导的决策,通过领导的决策
对历史学家的看法,从历史学家的分析
对教师的教学方法,通过教师的指导
对科学家的发现,凭借科学家的发现
关于导演的构思,通过导演的构思
对教师的评价,受益于教师的指导
关于艺术的表达,通过艺术的表达
关于顾客的反馈,由于公众的反馈
针对孩子的教育方法,通过教师的指导
对于科学家的研究,从科学家的研究
针对教师的教学方法,通过教师的指导
对公司的决策,通过领导的决策
对政策的分析,从历史学家的分析
对市场的预测,经过心理学家的分析
针对历史的研究,由于历史学家的研究
针对社会的观察,通过心理学家的观察
关于作家的观点,在作家的笔下
对政策的解读,从历史学家的分析
关于诗人的诗句,以作家的作品
对环境的保护措施,由于环境的影响
对历史学家的观点,从历史学家的分析
关于学生的建议,由学生的反馈
关于企业家的规划,从企业家的经验
关于企业家的战略,从企业家的经验
针对行业的挑战,经过团队的合作
由作家的创作,以作家的作品
对学生的关心,为家人的关心
对朋友的支持,通过朋友的支持
对企业的战略,由于企业家的策略
关于专家的研究,从科学家的研究
关于科学的发现,凭借科学家的发现
对朋友的评价,从朋友的反馈
关于音乐的理解,受到音乐家的启发
对运动员的支持,为家人的关心
针对音乐家的演出,通过音乐家的演奏
关于企业家的理念,从企业家的经验
针对教师的评价,在评论家的评价
针对市场的调研,通过研究者的分析
对企业家的创新,从企业家的经验
对于父母的期望,因为父母的支持
针对领导者的策略,由于企业家的策略
关于心理学家的论述,在心理学家的理论
对历史学家的分析,从历史学家的分析
鼓励勤奋的老师,学习新知识的学生
玩耍开心的狗狗,跑得飞快的狗
玩耍开心的小猫,抚摸柔软的小猫
摆放整齐的书本,背着装满书籍的书包的学生
照顾细心的奶奶,做饭认真的妈妈
讨厌脏乱的厨师,清洗油腻的碗筷
照顾细心的母亲,做饭认真的妈妈
喜爱精彩的书迷,喜欢看有趣的电影
讨厌拥挤的大象,喜欢热闹的地方
讨厌潮湿的猫,抚摸柔软的小猫
关心细心的父母,做饭认真的妈妈
玩耍可爱的小猪,笑得灿烂的小孩
玩耍快乐的狗狗,跑得飞快的狗
偷窃狡猾的老鼠,捕捉敏捷的猎豹
需要强壮的运动员,保持锻炼的强壮体魄
期待简单的学生,学习新知识的学生
要求认真的老师,学习复杂的理论
照顾周到的妈妈,做饭认真的妈妈
照顾细心的妈妈,做饭认真的妈妈
团聚温暖的家人,学习复杂的理论
展示强壮的运动员,保持锻炼的强壮体魄
讨厌凌乱的妈妈,做饭认真的妈妈
吼叫威猛的老虎,捕捉敏捷的猎豹
展现强壮的运动员,保持锻炼的强壮体魄
描绘绚丽的画家,绽放鲜艳的花朵的树
展示优秀的画廊,保持整洁的房间
展现优雅的画作,穿着讲究优雅的女士
珍惜简单的奶奶,喝着温暖的咖啡
展现优雅的书法,写得工整的字
锻炼坚韧的运动员,保持锻炼的强壮体魄
创造精彩的画家,写得工整的字
展现真实的演员,穿着华丽的演员
探讨深奥的学者,学习复杂的理论
展现精彩的演员,穿着华丽的演员
传递美好的诗句,写得工整的字
描绘优雅的诗人,穿着讲究优雅的女士
展出精彩的画廊,保持整洁的房间
传递温暖的笑容,笑得灿烂的小孩
出售有趣的书店,背着装满书籍的书包的学生
升起明亮的太阳,戴着鲜艳的帽子
保护脆弱的动物,抚摸柔软的小猫
传承悠久的文化,发现古老的石碑
包含丰富的书籍,背着装满书籍的书包的学生
体现优雅的书法,写得工整的字
渴望出色的演员,学习新知识的学生
呈现独特的画作,写得工整的字
安排周全的组织者,穿着整洁的服务员
关心幸福的父母,做饭认真的妈妈
展现真实的画面,学习复杂的理论
寻找新颖的读者,学习新知识的学生
展现独特的画家,写得工整的字
呈现真实的演员,穿着华丽的演员
帮助无私的志愿者,种植有机蔬菜的农民
展现精彩的画布,学习复杂的理论
创造丰富的画家,学习新知识的学生
向往精彩的书迷,喜欢看有趣的电影
关注重要的研究者,学习复杂的理论
寻找满意的顾客,喜欢穿舒适的衣服
寻找安全的动物,捕捉敏捷的猎豹
展现绚丽的花朵,绽放鲜艳的花朵的树
执行顺利的计划,学习复杂的理论
抓伤小孩的猫,保护濒危的动物
保护森林的消防员,安装防盗系统的工人
照顾花园的园丁,种植花草的园丁
教育学生的老师,学习老师的知识
抓到小孩的老鼠,收集贝壳的标本
污染河流的工厂,清洗泳池的工人
点燃希望的火种,点燃希望之火的演讲
传递爱的信件,点燃希望之火的演讲
挑战极限的运动员,打破纪录的运动员
咬伤小孩的老鼠,保护濒危的动物
攻击路人的狗,修理邻居的自行车
伤害小鸟的小孩,打破邻居的窗户
吞噬星星的夜空,探索宇宙奥秘的科学家
点燃希望之火的梦想,点燃希望之火的演讲
冲破障碍的浪,打破纪录的运动员
杀死猎人的狮子,打破纪录的选手
抓伤主人的猫,保护濒危的动物
攻击士兵的坦克,修理邻居的自行车
捕食鱼类的鲨鱼,收集贝壳的标本
保护孩子的母亲,照顾婴儿的护士
吃光草原的羊,修理园丁的草坪剪
吃掉苹果的虫子,收集贝壳的标本
捕捉蝴蝶的孩子,观察候鸟的迁徙
维护和平的战士,安装防盗系统的工人
点燃激情的火焰,点燃希望之火的演讲
舔舐主人的狗,清洗妈妈的项链
照亮夜空的星星,探索宇宙奥秘的科学家
撞坏汽车的司机,修理汽车的师傅
点燃蜡烛的火柴,点燃希望之火的演讲
攻击政府的军队,赢得比赛的队伍
打死敌方的士兵,赢得比赛的队伍
攻击银行的抢劫犯,安装防盗系统的工人
撞坏汽车的卡车,修理朋友的自行车
寻找主人的猫,观察候鸟的迁徙
吓跑小孩的猫,保护濒危的动物
追逐自由的老鼠,观察候鸟的迁徙
抓伤女孩的猫,清洗妈妈的围裙
咬伤男孩的狗,修理邻居的自行车
咬伤猎人的狗,保护濒危的动物
攻击敌人的军队,赢得比赛的队伍
拯救病人的医生,解决难题的专家
追逐老师的猫,观察候鸟的迁徙
攻击敌人的士兵,赢得比赛的队伍
追捕猎人的猫,观察候鸟的迁徙
吓坏小孩子的猫,保护濒危的动物
保护主人的猫,保护濒危的动物
吃掉草坪的鹿,保护濒危的动物
抓伤孩子的猫,保护濒危的动物
划破船只的桨,清洗泳池的工人
点燃蜡烛的火,点燃希望之火的演讲
杀死敌人的士兵,赢得比赛的选手
追逐飞沙的狂风,研究语言的规律
点燃希望的火花,点燃希望之火的演讲
拥抱梦想的翅膀,探索宇宙奥秘的科学家
毁坏士兵的剑,打破纪录的选手
抓伤老人的猫,保护濒危的动物
舔主人的狗,清洗妈妈的项链
舔舐主人的猫,清洗妈妈的围裙
捕捉昆虫的蜘蛛,收集贝壳的标本
守护和平的军队,赢得比赛的队伍
拥抱母亲的儿子,照顾婴儿的护士
袭击城市的军队,赢得比赛的队伍
伤害孩子的母亲,编织童年梦想的母亲
打伤妻子的丈夫,修复破损的文物
拥抱父亲的儿子,照顾婴儿的护士
想念故乡的游子,失去珍贵记忆的老人
记录历史的文献,扫描图书馆的古籍书
想起往事的老人,失去珍贵记忆的老人
保护小孩的父母,照顾婴儿的护士
赞美孩子的父母,完成作业的学生
记录比赛的记者,打破纪录的选手
发现宝藏的探险家,探索宇宙奥秘的科学家
教导学生的老师,学习老师的知识
想念家乡的老人,失去珍贵记忆的老人
想念故乡的移民,解决难题的专家
支持社区发展的项目,推广节能的技术
维护城市安全的警察,安装防盗系统的工人
观察动物行为的生物学家,探索宇宙奥秘的科学家
照顾女孩的小狗,清洗妈妈的项链
观察动物的生物学家,探索宇宙奥秘的科学家
研究古代文明的考古学家,探索宇宙奥秘的科学家
保护孩子的父母,照顾婴儿的护士
照顾宠物的孩子,照顾婴儿的护士
设计产品的团队,设计建筑的工程师
喂养小鸟的孩子,观察候鸟的季节
研究历史文化的学者,探索宇宙奥秘的科学家
影响生活的习惯,种植花卉的技巧
推荐电影的影评人,设计建筑的工程师
保护文化遗产的项目,举办展览的博物馆
听懂外语的翻译,研究语言的规律
理解心理学理论的研究者,探索宇宙奥秘的科学家
研究生态环境的科学家,探索宇宙奥秘的科学家
组织社区活动的志愿者,打扫办公室的保洁员
研究古代文化的考古学家,探索宇宙奥秘的科学家
维护网络安全的工程师,安装防盗系统的工人
关注社会的问题,解决难题的专家
传播正能量的思想,点燃希望之火的演讲
影响学生的老师,学习老师的知识
传播正能量的文章,校对编辑的稿件
追逐蝴蝶的小孩,观察候鸟的迁徙
代表国家的运动队,打破纪录的运动员
照亮黑夜的星星,点燃希望之火的演讲
传递爱心的信息,点燃希望之火的演讲
观察星空的天文爱好者,探索宇宙奥秘的科学家
记录历史事件的书籍,扫描图书馆的古籍书
照顾动物的兽医,照顾婴儿的护士
赞美老师的学生,学习老师的知识
传播正能量的言论,摧毁信任基础的谣言
追逐小鸟的孩子,观察候鸟的迁徙
追赶公交车的乘客,驾驶火车的司机
支持改革的公民,修复漏洞的程序员
照顾孩子的父母,照顾婴儿的护士
保护动物的组织,保护濒危的动物
研究病毒的医学专家,研发疫苗的科学家
观察跳舞的孩子,组织文艺汇演的学生会
喜欢阅读的朋友,喜欢阅读的书籍
欣赏弹琴的音乐家,欣赏演奏的音乐
记录演讲的专家,推荐阅读书单的教授
观察画画的艺术家,收藏展览的画作
讨论学习的同学,研究历史文献的学者
讨论画画的艺术家,收藏展览的画作
赞美演讲的领导,推荐阅读书单的教授
追赶跑步的运动员,拍摄迁徙的候鸟
欣赏弹琴的老师,欣赏演奏的音乐
讨论写作的同学,准备发表论文的学者
观察画画的孩子,收藏展览的画作
喜欢跳舞的朋友,组织文艺汇演的学生会
帮助做饭的母亲,负责打扫卫生的阿姨
讨论读书的伙伴,喜欢阅读的书籍
听到唱歌的女孩,负责打扫卫生的阿姨
观察跑步的运动员,喜欢阅读的书籍
喜欢画画的小朋友,喜欢阅读的书
想念旅行的朋友,推荐游览的景点
追逐跑步的孩子,喜欢阅读的书
拍摄跳舞的朋友,组织文艺汇演的学生会
喜欢游泳的运动员,禁止捕捞鱼类的海域
喜欢跑步的运动员,喜欢阅读的书
观察写字的老师,负责打扫教室的学生
喜欢画画的孩子,喜欢阅读的书
记录读书的朋友,喜欢阅读的书籍
听见唱歌的女孩,负责打扫卫生的阿姨
赞赏跳舞的老师,欣赏演奏的音乐
记录阅读的同学,整理散落的书籍
喜欢跳舞的孩子,组织文艺汇演的学生会
观察跳舞的女孩,组织文艺汇演的学生会
讨论读书的朋友,喜欢阅读的书籍
倾听演讲的嘉宾,欣赏演奏音乐观众的评委
讨论写作的学生,准备发表论文的学者
关注游泳的教练,推荐阅读书单的教授
讨论阅读的书迷,推荐购买书籍的顾客
喜欢跑步的少年,喜欢阅读的书
喜欢画画的小孩,喜欢阅读的书
讨论游泳的运动员,禁止捕捞鱼类的海域
期待比赛的队伍,申请参加比赛的选手
观察唱歌的女孩,负责打扫卫生的阿姨
喜欢跑步的男孩,喜欢阅读的书
讨论学习的伙伴,研究历史文献的学者
帮助写作的同学,编写教学材料的团队
讨论运动的团队,负责研发产品的团队
拍摄跳舞的情侣,准备举办婚礼的情侣
观察跳舞的小朋友,欣赏演奏的音乐
喜欢读书的青年,喜欢阅读的书
喜欢跳舞的小朋友,组织文艺汇演的学生会
欣赏演讲的领导,欣赏演奏音乐观众的评委
喜欢画画的艺术家,收藏展览的画作
学习游泳的少年,组织文艺汇演的学生会
期待比赛的运动员,申请参加比赛的选手
记录阅读的书迷,喜欢阅读的书籍
喜欢阅读的青年,喜欢阅读的书
追逐奔跑的狗,禁止饲养宠物的房东
描述画画的艺术家,收藏展览的画作
赞美演讲的嘉宾,欣赏演奏音乐观众的评委
喜欢阅读的孩子,喜欢阅读的书
观察跑步的选手,喜欢阅读的书籍
了解烹饪的厨师,分享烹饪的经验
赞美跳舞的老师,组织文艺汇演的学生会
记录阅读的朋友,喜欢阅读的书籍
看跑步的运动员,喜欢阅读的书
赞赏演讲的领导,推荐阅读书单的教授
欣赏画画的艺术家,收藏展览的画作
讨论学习的学生,组织文艺汇演的学生会
关注阅读的孩子,喜欢阅读的书籍
喜欢跳舞的老师,欣赏演奏的音乐
学习弹琴的少年,欣赏演奏的音乐
追逐跑步的狗,禁止饲养宠物的房东
欣赏跳舞的艺术家,欣赏演奏的音乐
观看比赛的观众,观看拍摄的电影
追逐奔跑的狗狗,禁止饲养宠物的房东
喜欢读书的孩子,喜欢阅读的书
喜欢阅读的少年,喜欢阅读的书
看跳舞的孩子,组织文艺汇演的学生会
喜爱阅读的孩子,喜欢阅读的书
讨论旅行的伙伴,推荐游览的景点
记录演讲的听众,欣赏演奏音乐观众的评委
模仿唱戏的演员,欣赏演奏的音乐
观察打鼓的乐手,欣赏演奏的音乐
讨论比赛的球迷,欣赏演奏音乐观众的评委
支持创业的年轻人,准备发表论文的学者
观察游泳的选手,禁止捕捞鱼类的海域
追踪比赛的球迷,观看拍摄的电影
组织活动的团队,组织文艺汇演的学生会
喜欢跳舞的少年,组织文艺汇演的学生会
欣赏演奏的音乐家,欣赏演奏的音乐
追逐奔跑的孩子,拍摄迁徙的候鸟
追求梦想的旅程,推荐游览的景点
记录探险的团队,编写教学材料的团队
训练游泳的运动员,禁止捕捞鱼类的海域
喜欢跑步的青年,喜欢阅读的书
讨论旅行的朋友,推荐游览的景点
赞美唱歌的老师,欣赏演奏的音乐
训练跑步的运动员,申请参加比赛的选手
追赶跑步的孩子,喜欢阅读的书
听唱歌的歌手,欣赏演奏的音乐
询问学习的方式,提出解决问题的方案
喜欢画画的儿童,收藏展览的画作
模仿唱歌的明星,欣赏演奏的音乐
赞美弹琴的老师,欣赏演奏的音乐
喜爱阅读的书迷,喜欢阅读的书籍
喜爱阅读的学生,喜欢阅读的书
学习做饭的成年人,推荐烹饪的食谱
评价演讲的政治家,研究历史文献的学者
看打球的学生,负责打扫教室的学生
喜欢读书的少年,喜欢阅读的书
喜欢阅读的学生,喜欢阅读的书
想念聊天的朋友,研究历史文献的学者
支持演讲的领导,推荐阅读书单的教授
观察游泳的教练,禁止捕捞鱼类的海域
记录游泳的选手,禁止捕捞鱼类的海域
了解设计的学生,捐赠建造的学校
学习做饭的厨师,烹饪教学的视频教程
期待演讲的嘉宾,推荐阅读书单的教授
观看游泳的选手,禁止捕捞鱼类的海域
欣赏演讲的嘉宾,欣赏演奏音乐观众的评委
观看跳舞的女孩,组织文艺汇演的学生会
欣赏跳舞的朋友,欣赏演奏的音乐
拍摄演出的演员,观看拍摄的电影
讨论旅行的同学,推荐游览的景点
观察跳舞的舞者,欣赏演奏的音乐
观察游泳的运动员,禁止捕捞鱼类的海域
赞美唱歌的少年,组织文艺汇演的学生会
喜欢游泳的少年,喜欢阅读的书
追逐打球的伙伴,研究历史文献的学者
喜爱游泳的运动员,禁止捕捞鱼类的海域
想念游泳的教练,推荐阅读书单的教授
讨论阅读的朋友,喜欢阅读的书籍
参与设计的项目,负责研发产品的团队
赞美演讲的学生,组织文艺汇演的学生会
记录游泳的运动员,禁止捕捞鱼类的海域
观察烹饪的厨师,分享烹饪的经验
期待演出的演员,准备发表论文的学者
追踪拍照的摄影师,观看拍摄的电影
观察练习的孩子,捐赠建造的学校
听见歌唱的女孩,负责打扫卫生的阿姨
追逐跑步的少年,喜欢阅读的书
赞美唱歌的歌手,欣赏演奏音乐观众的评委
拍摄跳舞的小朋友,组织文艺汇演的学生会
想念聊天的同学,研究历史文献的学者
讨论阅读的书友,喜欢阅读的书籍
追逐打闹的小朋友,拍摄迁徙的候鸟
想念下棋的伙伴,研究历史文献的学者
赞美演讲的选手,欣赏演奏音乐观众的评委
参与策划的团队,负责研发产品的团队
聆听演奏的乐团,欣赏演奏的音乐
观察跳舞的朋友,欣赏演奏的音乐
练习演奏的乐器,欣赏演奏的音乐
关注阅读的书迷,喜欢阅读的书籍
喜欢写作的朋友,喜欢阅读的书籍
追寻梦想的旅程,推荐游览的景点
喜欢画画的男孩,喜欢阅读的书
观察做饭的厨师,分享烹饪的经验
学习跳舞的朋友,组织文艺汇演的学生会
喜欢跳舞的青年,组织文艺汇演的学生会
教练督促队员很努力,老师批改作业疲惫
记者采访明星很有趣,歌手演唱歌曲极投入
同学评价老师很严格,老师批作业仔细
老师鼓励学生很好,老师讲解题目很耐心
朋友提醒我很重要,医生诊断病情准确
爷爷教导孙子有用,爷爷种花草茂盛
老师表扬学生很好,老师批改作业仔细
妈妈鼓励女儿很勇敢,妈妈打扫房间干净
医生提醒病人很重要,医生检查病人仔细
朋友支持我很坚定,孩子踢球力气大
兄弟鼓励我很勇敢,弟弟吹气球大大的
叔叔提醒我很重要,爷爷修椅子稳稳的
爷爷教导我有用,爷爷种花草茂盛
朋友嘲讽我很可笑,医生检查伤口相当仔细。
姐姐批评我很直接,姐姐打扫房间整洁
老师教学生认真,老师布置作业认真
爷爷讲故事很有趣,老师讲故事生动
记者采访市民热情,游客拍摄照片美丽
同事提醒老板重要,老师擦黑板干干净净
领导指示员工认真,老师布置作业认真
朋友分享经历有趣,老师讲故事生动
朱明讲故事很生动,老师讲故事生动
刘勇鼓励队友很积极,学生解答难题兴奋
老王教徒弟耐心,医生检查病人耐心
老李教孩子认真,老师布置作业认真
小刚提醒老板及时,医生诊断病情准确
小丽支持姐妹坚定,姐姐打扫房间整洁
小明赞美老师很真挚,老师讲解题目很耐心
朋友支持我坚定,孩子踢球力气大
爷爷讲故事有趣,老师讲故事生动
作家写小说感人,作家写书情节妙
科学家研究问题复杂,老师讲解题目清晰
领导激励团队积极,学生解答难题兴奋
记者报道新闻真实,作家编写故事精彩
何俊支持团队很坚定,歌手弹吉他节奏稳定
小王解释问题很清晰,老师讲解问题清晰
王军分析数据很准确,医生诊断病情准确
小张提醒同事及时,医生诊断病情准确
小刚鼓励队友很积极,弟弟吹气球大大的
小张分享经验很有益,老师讲故事生动
朋友聊生活很愉快,孩子堆积木开心
小丽批评小刚不好,姐姐编花环精致美丽
老李提醒小王十分重要,哥哥叠被褥整齐
老张批评小伟太自私,球员踢进点球狂喜
小雪批评小强十分不好,哥哥叠被褥整齐
赵明批评小红很执着,孩子堆沙堡特别认真。
